Code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
160558,Fish,"Snails, prepared or preserved (excluding smoked and sea snails)",0,0,0,0,0,0,0,0,0,0,0,4393,6448,4063,4480,4635,4485,4212
030783,Fish,"Frozen, even in shell, abalone ""Haliotis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4427,5523
030384,Fish,"Frozen sea bass ""Dicentrarchus spp.""",0,0,0,0,0,0,0,0,0,0,0,2164,3482,1108,2968,3199,4454,3883
030314,Fish,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,0,0,0,0,0,0,0,0,0,2615,2471,2911,2970,3822,3008,2701
160552,Fish,"Scallops, incl. queen scallops, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,4476,5946,5268,5406,5798,6211,6631
030366,Fish,"Frozen hake ""Merluccius spp., Urophycis spp.""",0,0,0,0,0,0,0,0,0,0,0,3488,2635,4562,4724,3560,3997,3882
030254,Fish,"Fresh or chilled hake ""Merluccius spp., Urophycis spp.""",0,0,0,0,0,0,0,0,0,0,0,11577,10292,7056,7598,7388,6856,4667
030495,Fish,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...",0,0,0,0,0,0,0,0,0,0,0,10579,6937,2255,1012,2594,4623,4761
030299,Fish,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3537,4491
030635,Fish,"Cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"", whether in shell or not, live, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3319,2961
030636,Fish,"Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10674,5992
030252,Fish,"Fresh or chilled haddock ""Melanogrammus aeglefinus""",0,0,0,0,0,0,0,0,0,0,0,9879,7059,11463,11830,7417,7036,3842
030531,Fish,"Fillets, dried, salted or in brine, but not smoked, of tilapia ""Oreochromis spp."", catfish ...",0,0,0,0,0,0,0,0,0,0,0,8928,9400,7041,8766,7829,4142,6020
030787,Fish,"Smoked, dried, salted or in brine, even in shell, abalone ""Haliotis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4751,5038
030615,Fish,"Frozen Norway lobsters ""Nephrops norvegicus"", even smoked, whether in shell or not, incl. lobsters ...",0,0,0,0,0,0,0,0,0,0,0,8,522,2010,957,1988,1126,4084
030246,Fish,"Fresh or chilled cobia ""Rachycentron canadum""",0,0,0,0,0,0,0,0,0,0,0,2898,5209,7943,8119,8045,8704,5363
030326,Fish,"Frozen eels ""Anguilla spp.""",0,0,0,0,0,0,0,0,0,0,0,2134,2088,3236,1173,1193,1607,1307
030812,Fish,"Frozen sea cucumbers ""Stichopus japonicus, Holothuroidea""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11583,12367
030355,Fish,"Frozen jack and horse mackerel ""Trachurus spp.""",0,0,0,0,0,0,0,0,0,0,0,1522,2182,3238,2705,2977,3022,3580
030779,Fish,"Smoked, frozen, dried, salted or in brine, even in shell, clams, cockles and ark shells ""families ...",0,0,0,0,0,0,0,0,0,0,0,10714,10386,10404,11822,14216,2428,2336
030283,Fish,"Fresh or chilled toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,2313,2969,3203,3062,3029,6053,3190
030554,Fish,"Dried herrings ""Clupea harengus, Clupea pallasii"", anchovies ""Engraulis spp."", sardines ""Sardina ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,1615
030357,Fish,"Frozen swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,7622,5352,5918,7085,3068,3702,3005
030242,Fish,"Fresh or chilled anchovies ""Engraulis spp.""",0,0,0,0,0,0,0,0,0,0,0,26,135,147,1756,1161,1348,2208
160561,Fish,"Sea cucumbers, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,2048,2352,3936,4548,5242,6103,2836
160563,Fish,"Jellyfish, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,3741,4035,3085,2348,3000,4655,5058
030324,Fish,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,1860,1123,2061,1869,1407,1994,1042
030811,Fish,"Live, fresh or chilled, sea cucumbers ""Stichopus japonicus, Holothurioidea""",0,0,0,0,0,0,0,0,0,0,0,1785,1762,2654,2321,1603,2074,2429
030473,Fish,"Frozen fillets of coalfish ""Pollachius virens""",0,0,0,0,0,0,0,0,0,0,0,8597,5268,3448,3498,3438,3287,2385
030890,Fish,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates ...",0,0,0,0,0,0,0,0,0,0,0,4672,959,955,1322,1902,1641,2209
030572,Fish,"Fish heads, tails and maws, smoked, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,0,451,326,538,696,593,832,1238
030259,Fish,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, ...",0,0,0,0,0,0,0,0,0,0,0,1322,2350,1254,1539,2132,1491,1529
030543,Fish,"Smoked trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,0,0,0,0,0,0,0,0,0,646,767,1212,1249,1568,2079,1183
030781,Fish,"Live, fresh or chilled, even in shell, abalone ""Haliotis spp.""",0,0,0,0,0,0,0,0,0,0,0,1050,969,347,528,235,319,1150
030291,Fish,"Fresh or chilled fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,322
030433,Fish,"Fresh or chilled fillets of Nile perch ""Lates niloticus""",0,0,0,0,0,0,0,0,0,0,0,1438,905,1740,1608,2000,1825,1417
030719,Fish,"Oysters, smoked, frozen, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,0,5185,12170,13213,13948,13343,3940,2693
030451,Fish,"Fresh or chilled meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius ...",0,0,0,0,0,0,0,0,0,0,0,11136,2781,1955,1334,1261,1195,1558
030367,Fish,"Frozen Alaska pollack ""Theragra chalcogramma""",0,0,0,0,0,0,0,0,0,0,0,2551,1959,943,1237,1213,1322,3550
030224,Fish,"Fresh or chilled turbot ""Psetta maxima""",0,0,0,0,0,0,0,0,0,0,0,1090,1002,1223,1189,854,986,1295
030399,Fish,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,296
030634,Fish,"Norway lobsters ""Nephrops norvegicus"", whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,187
030830,Fish,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, jellyfish ""Rhopilema ...",0,0,0,0,0,0,0,0,0,0,0,3026,2825,2266,2584,3155,1724,1757
030469,Fish,"Frozen fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,0,0,0,0,0,0,0,0,0,18385,21345,16726,12906,11746,8690,2873
030553,Fish,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,133
030631,Fish,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,1552
030249,Fish,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,1345
030693,Fish,"Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,417
030742,Fish,"Cuttle fish and squid, live, fresh or chilled, with or without shell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,1618
030579,Fish,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,0,0,0,0,0,0,0,0,52,114,62,61,122,189,792
030325,Fish,"Frozen carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,0,0,0,0,0,0,0,0,0,63,361,526,198,324,158,1406
030493,Fish,"Frozen meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., ...",0,0,0,0,0,0,0,0,0,0,0,886,3206,1078,831,450,486,330
030356,Fish,"Frozen cobia ""Rachycentron canadum""",0,0,0,0,0,0,0,0,0,0,0,69,24,0,166,367,1200,598
030432,Fish,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,23325,32617,9756,1818,2980,2420,1085
030788,Fish,"Smoked, dried, salted or in brine, even in shell, stromboid conchs ""Strombus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,678
030486,Fish,"Frozen fillets of herring ""Clupea harengus, Clupea pallasii""",0,0,0,0,0,0,0,0,0,0,0,315,1382,648,857,939,706,485
030639,Fish,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,387
030241,Fish,"Fresh or chilled herring ""Clupea harengus, clupea pallasii""",0,0,0,0,0,0,0,0,0,0,0,747,336,368,550,552,709,555
030699,Fish,"Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,755
030564,Fish,"Tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,13,1458,460,447,147,533,353
030281,Fish,Fresh or chilled dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,430,687,420,326,240,267,146
030488,Fish,"Frozen fillets of dogfish, other sharks, rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,204
030274,Fish,"Fresh or chilled eels ""Anguilla spp.""",0,0,0,0,0,0,0,0,0,0,0,697,21,104,103,308,219,154
030334,Fish,"Frozen turbot ""Psetta maxima""",0,0,0,0,0,0,0,0,0,0,0,159,640,643,711,1035,279,166
030439,Fish,"Fresh or chilled fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, ...",0,0,0,0,0,0,0,0,0,0,0,636,436,242,509,1165,959,601
