HS Code 6,Konsumsi-Non Konsumsi,Olahan-Non Olahan,Asal Bahan Baku,Komoditas,Komoditas 1,Komoditas 2,Group_Commodities,Commodities,Sebaran Habitat,Bentuk,Form,Uraian 2017
030312,K,N,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Beku,Frozen,"Salmon pasifik lainnya (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou dan Oncorhynchus rhodurus) beku/Other pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) frozen"
030313,K,N,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Beku,Frozen,"Salmon Atlantik (Salmo salar) dan salmon danube (Hucho hucho), beku"
030314,K,N,Perikanan Tangkap,Trout,Trout,Lainnya,Other Fish,Trout,Sub Tropis,Beku,Frozen,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache dan Oncorhynchus chrysogaster) beku/Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache dan Oncorhynchus chrysogaster), beku"
030329,K,N,Perikanan Tangkap,Gabus Dan Nile Perch,Gabus Dan Nile Perch,Lainnya,Other Fish,Snakeheads And Nile Perch,Sub Tropis,Beku,Frozen,Nile perch (Lates niloticus) dan gabus (Channa spp.) beku/Nile perch (Lates niloticus) and snakeheads (Channa spp.) frozen
030356,K,N,Perikanan Tangkap,Cobia,Cobia,Lainnya,Other Fish,Cobia,Tropis,Beku,Frozen,Cobia (Rachycentron canadum) beku/Cobia (Rachycentron canadum) frozen
030363,K,N,Perikanan Tangkap,Cod,Cod,Lainnya,Other Fish,Cod,Sub Tropis,Beku,Frozen,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) beku/Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen"
030367,K,N,Perikanan Tangkap,Alaska Pollack,Alaska Pollack,Lainnya,Other Fish,Alaska Pollack,Sub Tropis,Beku,Frozen,"Alaska Pollack (Theragra chalcogramma) beku/Alaska Pollack (Theragra chalcogramma), frozen"
030382,K,N,Perikanan Tangkap,Pari Dan Skates,Pari Dan Skates,Lainnya,Other Fish,Rays And Skates,Tropis,Beku,Frozen,Pari dan skates (Rajidae) beku/Rays and saktes (Rajidae) frozen
030384,K,N,Perikanan Tangkap,Seabass,Seabass,Lainnya,Other Fish,Seabass,Sub Tropis,Beku,Frozen,"Seabass (Dicentrarchus spp.) beku/Seabass (Dicentrarchus spp.), frozen"
030391,K,N,Perikanan Tangkap,Hati-Telur Ikan,Hati-Telur Ikan,Lainnya,Other Fish,Livers And Roes Of Fish,Tropis,Beku,Frozen,"Hati, telur dan sperma, beku"
030390,K,N,Perikanan Tangkap,Hati-Telur Ikan,Hati-Telur Ikan,Lainnya,Other Fish,Livers And Roes Of Fish,Tropis,Beku,Frozen,"NA"
030441,K,O,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Fillet,Fillets,"Fillet salmon pasifik (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou dan Oncorhynchus rhodurus), Salmon Atlantik (Salmo salar) dan Salmon Danube (Hucho hucho) segar atau dingin/Fillets of pasific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou dan Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube Salmon (Hucho hucho), fresh or chilled"
030442,K,O,Perikanan Tangkap,Trout,Trout,Lainnya,Other Fish,Trout,Sub Tropis,Fillet,Fillets,"Fillet Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache dan Oncorhynchus chrysogaster) segar atau dingin/Trout fillets (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache and Oncorhynchus chrysogaster) fresh or chilled"
030448,K,O,Perikanan Tangkap,Pari Dan Skates,Pari Dan Skates,Lainnya,Other Fish,Rays And Skates,Tropis,Fillet,Fillets,"Fillet pari dan skates (Rajidae), segar atau dingin"
030457,K,O,Perikanan Tangkap,Pari Dan Skates,Pari Dan Skates,Lainnya,Other Fish,Rays And Skates,Tropis,Daging Lainnya,Other Meat,"Daging pari dan skates (Rajidae), segar atau dingin"
030471,K,O,Perikanan Tangkap,Cod,Cod,Lainnya,Other Fish,Cod,Sub Tropis,Fillet,Fillets,"Fillet cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) beku/Cod fillets (Gadus morhua, Gadus ogac, Gadus macrocephalus) frozen"
030475,K,O,Perikanan Tangkap,Alaska Pollack,Alaska Pollack,Lainnya,Other Fish,Alaska Pollack,Sub Tropis,Fillet,Fillets,"Fillet Alaska Pollack (Theragra chalcogramma) beku/Alaska Pollack fillets (Theragra chalcogramma), frozen"
030481,K,O,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Fillet,Fillets,"Fillet Salmon Pasifik (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou dan Oncorhynchus rhodurus), salmon Atlantik (Salmo salar) dan salmon Danube (Hucho hucho), beku"
030482,K,O,Perikanan Tangkap,Trout,Trout,Lainnya,Other Fish,Trout,Sub Tropis,Fillet,Fillets,"Filet beku Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache dan Oncorhynchus chrysogaster)/Frozen fillets of trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache and Oncorhynchus chrysogaster)"
030494,K,O,Perikanan Tangkap,Alaska Pollack,Alaska Pollack,Lainnya,Other Fish,Alaska Pollack,Sub Tropis,Daging Lainnya,Other Meat,"Daging lainnya Alaska Pollack (Theragra chalcogramma) beku/Other meat of Alaska Pollack (Theragra chalcogramma), frozen"
030497,K,O,Perikanan Tangkap,Pari Dan Skates,Pari Dan Skates,Lainnya,Other Fish,Rays And Skates,Tropis,Daging Lainnya,Other Meat,"Daging pari dan skates (Rajidae), beku"
030510,K,O,Perikanan Tangkap,Tepung Ikan-Pellet,Tepung Ikan-Pellet,Lainnya,Other Fish,"Flours, Meals, Pellets",Tropis,Layak Untuk Konsumsi Manusia,Fit For Human Consumption,"Tepung, tepung kasar dan pellet dari ikan yang layak untuk dikonsumsi manusia/Flours, meals, and pellets of fish, fit for human consumption"
030541,K,O,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Diasapi,Smoked,"Salmon pasifik (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou dan Oncorhynchus rhodurus), Salmon Atlantik (Salmo salar) dan Salmon Danube (Hucho hucho) diasapi, termasuk fillet/Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), smoked, including fillets"
030543,K,O,Perikanan Tangkap,Trout,Trout,Lainnya,Other Fish,Trout,Sub Tropis,Diasapi,Smoked,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache dan Oncorhynchus chrysogaster) diasapi, termasuk fillet/Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache and Oncorhynchus chrysogaster), smoked, including fillets"
030551,K,O,Perikanan Tangkap,Cod,Cod,Lainnya,Other Fish,Cod,Sub Tropis,Dikeringkan,Dried,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) dikeringkan, digarami atau tidak digarami tetapi tidak diasapi/Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), dried, salted or unsalted but not smoked"
030562,K,O,Perikanan Tangkap,Cod,Cod,Lainnya,Other Fish,Cod,Sub Tropis,Diasinkan,Salted,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) diasinkan, tidak dikeringkan atau diasapi/Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), salted, not dried or smoked"
030563,K,O,Perikanan Tangkap,Teri,Teri,Lainnya,Other Fish,Anchovies,Tropis,Diasinkan,Salted,"Teri (Engraulis spp.) diasinkan tetapi tidak dikeringkan atau diasapi dan dalam air garam/Anchovies (Engraulis spp.), salted but not dried or smoked and in brine"
030572,K,O,Perikanan Tangkap,Cod,Cod,Lainnya,Other Fish,Cod,Sub Tropis,Bagian Ikan Yang Dapat Dimakan,Edible Fish Offal,Perut ikan cod
030711,K,N,Perikanan Tangkap,Tiram,Kerang-kerangan,Lainnya,Other Fish,Oysters,Tropis,Hidup,Live,"Tiram (Oysters) hidup/Oysters, live"
030712,K,N,Perikanan Tangkap,Tiram,Kerang-kerangan,Lainnya,Other Fish,Oysters,Tropis,Beku,Frozen,"Tiram (Oysters) beku/Oysters, frozen"
