Product code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
160551,Fish,"Oysters, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160553,Fish,"Mussels, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160562,Fish,"Sea urchins, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160563,Fish,"Jellyfish, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030194,Fish,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
030243,Fish,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", ...",0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
030272,Fish,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
030345,Fish,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0
030454,Fish,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excluding fillets)",0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
030579,Fish,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0
030719,Fish,"Oysters, smoked, frozen, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0
160530,Fish,"Lobster, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
160557,Fish,"Abalone, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
030479,Fish,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, ...",0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,0,87,0
030496,Fish,"Frozen meat, whether or not minced, of dogfish and other sharks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0
030497,Fish,"Frozen meat, whether or not minced, of rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
030635,Fish,"Cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"", whether in shell or not, live, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
030742,Fish,"Cuttle fish and squid, live, fresh or chilled, with or without shell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
030356,Fish,"Frozen cobia ""Rachycentron canadum""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,65
030359,Fish,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,143
030432,Fish,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,2205,0,0,0,0,0,7
030443,Fish,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,10
030483,Fish,"Frozen fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
030631,Fish,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
030632,Fish,"Lobsters ""Homarus spp."", whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
030633,Fish,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746,3
030636,Fish,"Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,4067
030639,Fish,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6
030693,Fish,"Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136682,96741
030695,Fish,"Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
